indextype,n_samples,time,pool,n_hashes
64,1000,0.005,0,1
32,1000,0.004,0.002,1
16,1000,0.003,0.739,1
8,1000,0.009,14.937,1
64,1000,0.005,0,2
32,1000,0.005,0.006,2
16,1000,0.006,1.125,2
8,1000,0.018,31.791,2
64,1000,0.011,0.005,5
32,1000,0.01,0.013,5
16,1000,0.014,4.008,5
8,1000,0.038,70.281,5
64,1000,0.02,0.004,10
32,1000,0.018,0.015,10
16,1000,0.02,6.224,10
8,1000,0.079,144.82,10
64,1000,0.038,0.006,20
32,1000,0.036,0.025,20
16,1000,0.045,12.654,20
8,1000,0.151,268.779,20
64,1000,0.096,0.033,50
32,1000,0.086,0.077,50
16,1000,0.113,28.572,50
8,1000,0.316,490.312,50
64,1000,0.186,0.043,100
32,1000,0.169,0.159,100
16,1000,0.223,50.901,100
8,1000,0.522,700.215,100
64,2000,0.004,0,1
32,2000,0.004,0.004,1
16,2000,0.005,1.529,1
8,2000,0.017,30.37,1
64,2000,0.006,0.001,2
32,2000,0.006,0.012,2
16,2000,0.008,2.038,2
8,2000,0.032,62.992,2
64,2000,0.012,0.005,5
32,2000,0.012,0.02,5
16,2000,0.017,7.548,5
8,2000,0.078,157.87,5
64,2000,0.024,0.012,10
32,2000,0.023,0.061,10
16,2000,0.033,13.218,10
8,2000,0.145,280.49,10
64,2000,0.046,0.03,20
32,2000,0.043,0.12,20
16,2000,0.062,26.329,20
8,2000,0.276,518.342,20
64,2000,0.113,0.069,50
32,2000,0.103,0.136,50
16,2000,0.156,60.797,50
8,2000,0.584,973.128,50
64,2000,0.224,0.121,100
32,2000,0.208,0.328,100
16,2000,0.307,104.467,100
8,2000,0.966,1407.419,100
64,5000,0.005,0.006,1
32,5000,0.005,0.008,1
16,5000,0.004,2.849,1
8,5000,0.034,70.232,1
64,5000,0.009,0.003,2
32,5000,0.008,0.018,2
16,5000,0.007,6.62,2
8,5000,0.07,149.59,2
64,5000,0.019,0.016,5
32,5000,0.019,0.058,5
16,5000,0.017,16.899,5
8,5000,0.183,378.091,5
64,5000,0.037,0.033,10
32,5000,0.036,0.074,10
16,5000,0.033,34.348,10
8,5000,0.344,698.526,10
64,5000,0.073,0.098,20
32,5000,0.07,0.223,20
16,5000,0.064,66.316,20
8,5000,0.642,1262.734,20
64,5000,0.178,0.12,50
32,5000,0.179,0.387,50
16,5000,0.151,147.34,50
8,5000,1.37,2433.981,50
64,5000,0.372,0.247,100
32,5000,0.365,0.765,100
16,5000,0.31,251.725,100
8,5000,2.536,3526.285,100
64,10000,0.006,0.008,1
32,10000,0.006,0.027,1
16,10000,0.008,6.178,1
8,10000,0.075,165.948,1
64,10000,0.011,0.02,2
32,10000,0.012,0.036,2
16,10000,0.015,15.168,2
8,10000,0.137,301.668,2
64,10000,0.026,0.043,5
32,10000,0.026,0.114,5
16,10000,0.036,35.526,5
8,10000,0.359,758.455,5
64,10000,0.051,0.08,10
32,10000,0.047,0.136,10
16,10000,0.069,67.88,10
8,10000,0.686,1421.711,10
64,10000,0.095,0.08,20
32,10000,0.093,0.363,20
16,10000,0.129,117.791,20
8,10000,1.292,2529.938,20
64,10000,0.245,0.313,50
32,10000,0.292,0.505,50
16,10000,0.337,295.847,50
8,10000,2.703,4823.798,50
64,10000,0.526,0.587,100
32,10000,0.5,1.544,100
16,10000,0.61,505.344,100
8,10000,4.909,7017.201,100
64,20000,0.008,0.02,1
32,20000,0.008,0.037,1
16,20000,0.008,9.43,1
8,20000,0.138,311.378,1
64,20000,0.014,0.031,2
32,20000,0.014,0.083,2
16,20000,0.02,26.786,2
8,20000,0.279,611.574,2
64,20000,0.031,0.083,5
32,20000,0.035,0.258,5
16,20000,0.045,63.19,5
8,20000,0.693,1480.206,5
64,20000,0.064,0.114,10
32,20000,0.066,0.329,10
16,20000,0.092,133.611,10
8,20000,1.354,2827.319,10
64,20000,0.128,0.236,20
32,20000,0.126,0.738,20
16,20000,0.179,274.839,20
8,20000,2.615,5216.212,20
64,20000,0.401,0.52,50
32,20000,0.413,1.393,50
16,20000,0.415,582.504,50
8,20000,5.528,9868.509,50
64,20000,0.751,1.191,100
32,20000,0.828,3.144,100
16,20000,0.783,983.965,100
8,20000,9.823,13974.719,100
64,50000,0.014,0.034,1
32,50000,0.013,0.07,1
16,50000,0.021,35.035,1
8,50000,0.363,751.662,1
64,50000,0.025,0.118,2
32,50000,0.027,0.167,2
16,50000,0.037,65.917,2
8,50000,0.766,1563.667,2
64,50000,0.061,0.183,5
32,50000,0.06,0.574,5
16,50000,0.09,162.26,5
8,50000,1.797,3743.398,5
64,50000,0.136,0.329,10
32,50000,0.131,1.262,10
16,50000,0.19,351.857,10
8,50000,3.199,6825.446,10
64,50000,0.265,0.664,20
32,50000,0.276,2.361,20
16,50000,0.358,637.683,20
8,50000,6.529,12848.298,20
64,50000,0.896,1.385,50
32,50000,0.798,4.544,50
16,50000,0.854,1526.749,50
8,50000,13.983,24515.443,50
64,50000,1.651,2.878,100
32,50000,1.717,7.382,100
16,50000,1.576,2630.284,100
8,50000,23.426,34499.344,100
64,100000,0.017,0.18,1
32,100000,0.018,0.159,1
16,100000,0.036,79.521,1
8,100000,0.674,1467.119,1
64,100000,0.033,0.214,2
32,100000,0.033,0.321,2
16,100000,0.056,115,2
8,100000,1.471,3110.161,2
64,100000,0.085,0.448,5
32,100000,0.09,1.521,5
16,100000,0.171,349.983,5
8,100000,3.417,7121.425,5
64,100000,0.194,0.745,10
32,100000,0.189,1.688,10
16,100000,0.325,665.869,10
8,100000,6.921,14592.99,10
64,100000,0.428,1.536,20
32,100000,0.434,4.5,20
16,100000,0.629,1266.823,20
8,100000,13.017,25669.988,20
64,100000,1.117,2.725,50
32,100000,1.185,10.509,50
16,100000,1.475,2889.313,50
8,100000,27.867,48795.42,50
64,100000,2.552,5.066,100
32,100000,2.453,13.487,100
16,100000,2.714,4986.973,100
8,100000,49.061,70535.87,100
64,200000,0.023,0.173,1
32,200000,0.023,0.16,1
16,200000,0.059,130.147,1
8,200000,1.361,2894.929,1
64,200000,0.044,0.196,2
32,200000,0.057,1.365,2
16,200000,0.145,279.101,2
8,200000,3.032,6367.685,2
64,200000,0.159,0.732,5
32,200000,0.135,1.546,5
16,200000,0.343,717.628,5
8,200000,7.689,15465.944,5
64,200000,0.275,1.22,10
32,200000,0.268,2.628,10
16,200000,0.643,1348.912,10
8,200000,13.472,27996.732,10
64,200000,0.61,3.066,20
32,200000,0.61,8.503,20
16,200000,1.258,2597.434,20
8,200000,25.547,50686.293,20
64,200000,2.046,5.925,50
32,200000,1.647,18.697,50
16,200000,2.916,5838.781,50
8,200000,56.377,98968.95,50
64,200000,3.384,13.342,100
32,200000,3.359,37.83,100
16,200000,5.506,10398.479,100
8,200000,95.844,139980.13,100
